,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill
0,3009.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.8661527752555956,0.0003773749706714,-126.42257894736842,48320.14429063444,0.0017410100247312,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.46013298815305,204.2949375819412,211.02472692084743,227.25459432458248,266.83502529253104,357.01582621976337,530.0965973474181,879.6916750620516,,,,,,,,,,,,,201.7902363025988,204.4008227293268,209.7442985295147,220.4691773773997,241.15850688317187,278.2048984044284,338.09884750405865,435.14955662592735,566.2414010243546,871.8440600960752,,,,,,,,,,,173.7091961113478,93.58214642260776,,,,,,
0,3010.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.8889742803590539,0.0002317858979841,-126.42257894736842,48320.14429063444,0.0028952389293555,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.6243186647145,204.69091565411,212.014621057211,229.8972271739972,274.1899046309597,372.9488291714474,542.8077711942519,886.6029431101623,,,,,,,,,,,,,202.2444273305987,205.4508572358857,212.1116901265576,225.60345771603363,251.5691675341282,297.08382076177,372.18922996571257,487.3676648169719,858.2578342265175,937.6520558780912,,,,,,,,,,,156.0392976212755,83.89452689614946,,,,,,
0,3011.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.923173863343664,0.0001309457211038,-126.42257894736842,48320.14429063444,0.0048146813280697,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,201.91475997752408,205.38157103742748,213.688413891072,234.0524001464404,283.77695263196426,386.8515537723599,552.2207222932619,891.9429086271847,,,,,,,,,,,,,202.54132556445424,206.2667621800678,214.19996010795995,230.5691901430816,262.2380409718656,316.99903745443106,408.8840525365192,543.0898614208237,861.9098356844435,,,,,,,,,,,,135.83110780157207,73.13013149975394,,,,,,
0,3012.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.9622836877842158,7.451233031001947e-05,-126.42257894736842,48320.14429063444,0.0080066470700654,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,202.29071959968024,206.2646628817555,215.7666754309862,238.8365277211377,292.7891266434252,396.795417608056,558.4317130678779,895.1872305569667,,,,,,,,,,,,,202.61637938782195,206.6631067238273,215.5436081674632,234.324296153598,271.09764712756885,334.7295227502101,442.9442074940526,590.1606755131623,917.7158088102672,,,,,,,,,,,,117.64455661980466,63.53532877402264,,,,,,
0,3013.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,0.9911984714098988,5.052939196643862e-05,-126.42257894736842,48320.14429063444,0.0133147747351096,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,202.6622107797202,207.12860208500723,217.7487346014936,243.0794734223404,299.3865981541648,402.8262173766991,561.889927140008,897.0939133135234,,,,,,,,,,,,,202.58076584593343,206.7603299761833,216.14641244794265,236.3863658629673,276.457113988167,346.76336002763964,465.70626690450433,723.2762555796907,,,,,,,,,,,,,73.46783925411076,44.71735077999106,,,,,,
0,3014.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0018600496799033,4.417703313479693e-05,-126.42257894736842,48320.14429063444,0.0221420058478067,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,202.9864992016161,207.8722168265696,219.39310191073173,246.26422753653293,303.3555198495308,405.86022565349305,563.6392815732112,898.2444713024313,,,,,,,,,949.671552928569,,,,202.5398807317453,206.73206102791409,216.22963141048427,236.86951873831487,277.94021641361314,350.5421894869897,472.8860483482389,856.4954362088839,,,,,,,,,,,,,41.51042273995608,28.422570185991567,,,,,,
0,3015.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0024909307851495,4.384294956108846e-05,-126.42257894736842,48320.14429063444,0.0368213832166099,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,203.2441633432896,208.4509136221845,220.60943384581952,248.35641757272384,305.473565399957,407.28699526306553,564.5037772705676,898.9488157202827,,,,,,,,,,,,,202.53617325264864,206.72787765018484,216.2285960338748,236.8858169639143,278.00518269349215,350.72534849905566,473.2513520912608,856.2253656248537,,,,,,,,,,,,,42.22005853785275,29.536046153575704,,,,,,
0,3016.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.002421564102165,4.387102092305039e-05,-126.42257894736842,48320.14429063444,0.0612326756348836,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,203.43085761086343,208.86165129462773,221.43288566855307,249.6428579772289,306.62295707802303,407.9911764149167,564.9329884403745,899.3725418714369,,,,,,,,,,,,,202.53730750293388,206.729750858136,216.23187813309585,236.8908243468911,278.0105537098797,350.7284620417734,473.2456182371591,856.1583961090437,,,,,,,,,,,,,42.67132029389882,30.219390677138943,,,,,,
0,3017.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0023298499013642,4.391219035398655e-05,-126.42257894736842,48320.14429063444,0.1018278032454662,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,203.5602439225626,209.14063686412828,221.9704256281359,250.4320528745357,307.2884335019424,408.36035145050096,565.1539764721304,899.6201964640497,,,,,,,,,,,,,202.53822476782383,206.73145263691416,216.2349286645176,236.8940385063788,278.0118923050312,350.7215936184403,473.2211423426994,856.3151132251362,,,,,,,,,,,,,42.90882913882857,30.607241388880546,,,,,,
0,3018.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0022628195594223,4.394267495987303e-05,-126.42257894736842,48320.14429063444,0.1693360841460653,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,203.64689555373087,209.32444075801035,222.31430122882543,250.9172886637898,307.6841035677183,408.56196124444114,565.269280292348,899.764143796895,,,,,,,,,,,,,202.53896241158992,206.7327892934154,216.23666015333845,236.8958970571777,278.0119767612279,350.7154517329111,473.2015027331372,856.1982834466635,,,,,,949.1664184882612,,,,,,,43.0734763825518,30.868861439537213,,,,,,
