,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,Hill_coef,IC50,Vhalf,Kmax,Ku,n,halfmax
0,49,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.879567184,0.109520494,-199.5,54.53642211,0.00174101,1,1
0,50,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.906936874,0.080743988,-199.5,54.53642211,0.002895239,1,1
0,51,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,0.951448154,0.056663483,-199.5,54.53642211,0.004814681,1,1
0,52,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,0.986012747,0.043675463,-199.5,54.53642211,0.008006647,1,1
0,53,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.005964787,0.037859943,-199.5,54.53642211,0.013314775,1,1
0,54,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.008577561,0.036996747,-199.5,54.53642211,0.022142006,1,1
0,55,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.007604693,0.037137542,-199.5,54.53642211,0.036821383,1,1
0,56,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.007731742,0.037111108,-199.5,54.53642211,0.061232676,1,1
0,57,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.007887177,0.037082391,-199.5,54.53642211,0.101827803,1,1
0,58,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.008004873,0.037061236,-199.5,54.53642211,0.169336084,1,1
0,59,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,,1.008081813,0.037047535,-199.5,54.53642211,0.2816,1,1
0,60,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.995723641,0.017667884,-199.5,127.3845743,1.79E-05,1,1
0,61,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.935777909,0.024231555,-199.5,127.3845743,2.98E-05,1,1
0,62,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.834504118,0.043394147,-199.5,127.3845743,4.95E-05,1,1
0,63,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.750261237,0.077894262,-199.5,127.3845743,8.23E-05,1,1
0,64,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.720448494,0.117485018,-199.5,127.3845743,0.000136894,1,1
0,65,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.744186991,0.138430727,-199.5,127.3845743,0.000227651,1,1
0,66,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.787529488,0.132136955,-199.5,127.3845743,0.000378575,1,1
0,67,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.819234143,0.110292076,-199.5,127.3845743,0.000629557,1,1
0,68,0,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,,0.841067125,0.084416434,-199.5,127.3845743,0.001046931,1,1
0,69,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.870833298,0.05891498,-199.5,127.3845743,0.00174101,1,1
0,70,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.898696671,0.041289241,-199.5,127.3845743,0.002895239,1,1
0,71,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.935377331,0.028602108,-199.5,127.3845743,0.004814681,1,1
0,72,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.973574113,0.020798446,-199.5,127.3845743,0.008006647,1,1
0,73,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.998847245,0.017146846,-199.5,127.3845743,0.013314775,1,1
0,74,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,1.005956101,0.016303338,-199.5,127.3845743,0.022142006,1,1
0,75,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,1.005395556,0.016344541,-199.5,127.3845743,0.036821383,1,1
0,76,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,1.005427197,0.016339221,-199.5,127.3845743,0.061232676,1,1
0,77,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,1.005538777,0.01632795,-199.5,127.3845743,0.101827803,1,1
0,78,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,1.005631428,0.016318807,-199.5,127.3845743,0.169336084,1,1
0,79,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,1.005693704,0.016312679,-199.5,127.3845743,0.2816,1,1
0,80,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.949014177,0.010262464,-199.5,297.5411502,1.79E-05,1,1
0,81,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.86193547,0.017660249,-199.5,297.5411502,2.98E-05,1,1
0,82,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.761221546,0.035104628,-199.5,297.5411502,4.95E-05,1,1
0,83,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.684835073,0.066149771,-199.5,297.5411502,8.23E-05,1,1
0,84,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.684848467,0.087973024,-199.5,297.5411502,0.000136894,1,1
0,85,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.73039262,0.090166173,-199.5,297.5411502,0.000227651,1,1
0,86,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,31.6227766,,,,,,,,,,,,0.782554134,0.077442526,-199.5,297.5411502,0.000378575,1,1
0,87,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.821394566,0.059059641,-199.5,297.5411502,0.000629557,1,1
